year,location_abbr,location,obesity_rate,pct_change
2013,MT,Montana,24.6,0.012345679012345734
2013,NE,Nebraska,29.6,0.034965034965035
2013,NV,Nevada,26.2,0.0
2013,NH,New Hampshire,26.7,-0.02197802197802201
2013,NJ,New Jersey,26.3,0.06910569105691056
2013,NM,New Mexico,26.4,-0.02583025830258312
2013,NY,New York,25.4,0.07627118644067776
2013,NC,North Carolina,29.4,-0.006756756756756799
2013,ND,North Dakota,31.0,0.043771043771043905
2013,OH,Ohio,30.4,0.009966777408637828
2013,OK,Oklahoma,32.5,0.009316770186335255
2013,OR,Oregon,26.5,-0.02930402930402931
2013,PA,Pennsylvania,30.0,0.030927835051546282
2013,RI,Rhode Island,27.3,0.0622568093385214
2013,SC,South Carolina,31.7,0.0031645569620253333
2013,SD,South Dakota,29.9,0.06405693950177915
2013,TN,Tennessee,33.7,0.0836012861736335
2013,TX,Texas,30.9,0.05821917808219168
2013,UT,Utah,24.1,-0.008230452674897082
2013,VT,Vermont,24.7,0.04219409282700415
2013,VA,Virginia,27.2,-0.007299270072992692
2013,WA,Washington,27.2,0.014925373134328401
2013,WV,West Virginia,35.1,0.03846153846153855
2013,WI,Wisconsin,29.8,0.0033670033670034627
2013,WY,Wyoming,27.8,0.13008130081300817
2013,PR,Puerto Rico,27.9,
2014,US,National,28.9,0.021201413427561766
2014,AL,Alabama,33.5,0.03395061728395077
2014,AK,Alaska,29.7,0.045774647887323994
2014,AZ,Arizona,28.9,0.07835820895522372
2014,AR,Arkansas,35.9,0.037572254335260125
2014,CA,California,24.7,0.024896265560165887
2014,CO,Colorado,21.3,0.0
2014,CT,Connecticut,26.3,0.052000000000000046
2014,DE,Delaware,30.7,-0.012861736334405238
2014,DC,District of Columbia,21.7,-0.05240174672489084
2014,FL,Florida,26.2,-0.007575757575757569
2014,GA,Georgia,30.5,0.0066006600660066805
2014,HI,Hawaii,22.1,0.013761467889908285
2014,ID,Idaho,28.9,-0.023648648648648796
2014,IL,Illinois,29.3,-0.00340136054421758
2014,IN,Indiana,32.7,0.028301886792452935
2014,IA,Iowa,30.9,-0.012779552715655007
2014,KS,Kansas,31.3,0.043333333333333446
2014,KY,Kentucky,31.6,-0.048192771084337394
2014,LA,Louisiana,34.9,0.05438066465256797
2014,ME,Maine,28.2,-0.02422145328719716
2014,MD,Maryland,29.6,0.04593639575971742
2014,MA,Massachusetts,23.3,-0.012711864406779738
2014,MI,Michigan,30.7,-0.025396825396825418
2014,MN,Minnesota,27.6,0.08235294117647074
2014,MS,Mississippi,35.5,0.01139601139601143
2014,MO,Missouri,30.2,-0.006578947368421018
2014,MT,Montana,26.4,0.07317073170731692
2014,NE,Nebraska,30.2,0.020270270270270174
2014,NV,Nevada,27.7,0.057251908396946494
2014,NH,New Hampshire,27.4,0.02621722846441954
2014,NJ,New Jersey,26.9,0.02281368821292773
2014,NM,New Mexico,28.4,0.07575757575757569
2014,NY,New York,27.0,0.06299212598425208
2014,NC,North Carolina,29.7,0.010204081632653184
2014,ND,North Dakota,32.2,0.03870967741935494
2014,OH,Ohio,32.6,0.07236842105263164
2014,OK,Oklahoma,33.0,0.01538461538461533
2014,OR,Oregon,27.9,0.05283018867924527
2014,PA,Pennsylvania,30.2,0.006666666666666599
2014,RI,Rhode Island,27.0,-0.010989010989011061
2014,SC,South Carolina,32.1,0.012618296529968598
2014,SD,South Dakota,29.8,-0.0033444816053510573
2014,TN,Tennessee,31.2,-0.07418397626112772
2014,TX,Texas,31.9,0.032362459546925626
2014,UT,Utah,25.7,0.06639004149377592
2014,VT,Vermont,24.8,0.004048582995951566
2014,VA,Virginia,28.5,0.047794117647058876
2014,WA,Washington,27.3,0.003676470588235281
2014,WV,West Virginia,35.7,0.017094017094017033
2014,WI,Wisconsin,31.2,0.046979865771812124
2014,WY,Wyoming,29.5,0.06115107913669071
2014,GU,Guam,28.0,
2014,PR,Puerto Rico,28.3,0.01433691756272415
2015,US,National,28.9,0.0
2015,AL,Alabama,35.6,0.0626865671641792
2015,AK,Alaska,29.8,0.0033670033670034627
2015,AZ,Arizona,28.4,-0.01730103806228378
2015,AR,Arkansas,34.5,-0.03899721448467963
2015,CA,California,24.2,-0.020242914979757054
2015,CO,Colorado,20.2,-0.05164319248826299
2015,CT,Connecticut,25.3,-0.03802281368821292
2015,DE,Delaware,29.7,-0.032573289902280145
2015,DC,District of Columbia,22.1,0.018433179723502446
2015,FL,Florida,26.8,0.022900763358778775
2015,GA,Georgia,30.7,0.006557377049180246
2015,HI,Hawaii,22.7,0.02714932126696823
2015,ID,Idaho,28.6,-0.01038062283737018
2015,IL,Illinois,30.8,0.05119453924914685
